source,spectral_type_string,2MASS.H,2MASS.J,2MASS.Ks,ACAM.i,ACAM.z,Cousins.I,Cousins.R,DENIS.I,DENIS.J,DENIS.Ks,GAIA2.G,GAIA2.Grp,GAIA3.G,GAIA3.Grp,GALEX.NUV,IRAC.I1,IRAC.I2,IRAC.I3,IRAC.I4,JWST/MIRI.F1000W,JWST/MIRI.F1280W,JWST/MIRI.F1500W,JWST/MIRI.F1800W,JWST/MIRI.F2100W,Johnson.V,MIPS.24mu,NACO.Lp,NICMOS1.F090M,NICMOS1.F110W,NIRI.Y,NSFCam.H,NSFCam.J,NSFCam.K,NSFCam.Lp,NSFCam.Mp,PAN-STARRS/PS1.g,PAN-STARRS/PS1.i,PAN-STARRS/PS1.r,PAN-STARRS/PS1.y,PAN-STARRS/PS1.z,SDSS.g,SDSS.i,SDSS.r,SDSS.u,SDSS.z,UFTI.H,UFTI.J,UFTI.K,UFTI.Y,UKIDSS.H,UKIDSS.J,UKIDSS.K,UKIDSS.Y,VISTA.H,VISTA.J,VISTA.Ks,VISTA.Y,VisAO.Ys,WFCAM.H,WFCAM.J,WFCAM.K,WFCAM.Y,WISE.W1,WISE.W2,WISE.W3,WISE.W4,Wircam.Y
2MASS J00470038+6803543,L7 INT-G,13.968,15.604,13.053,,,,,,,,,,,,,11.47,,,,,,,,,,,,,,,,,,,,,21.16,,18.03,19.02,,,,,18.72,,,,,,,,,,,,,,14.042,15.485,13.008,16.799,11.768,11.242,10.14,8.42,
2MASS J00470038+6803543,L7 pec,13.968,15.604,13.053,,,,,,,,,,,,,11.47,,,,,,,,,,,,,,,,,,,,,21.16,,18.03,19.02,,,,,18.72,,,,,,,,,,,,,,14.042,15.485,13.008,16.799,11.768,11.242,10.14,8.42,
2MASS J00501994-3322402,T7,15.838,15.928,15.241,,,,,,,,,,,,,14.82,13.57,13.32,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,16.04,15.65,15.91,16.798,,,,,,,,,,16.04,15.65,15.91,16.85,15.54,13.55,11.835,8.838,
2MASS J00511078-1544169,L3.5,14.164,15.28,13.466,,,,,,,,20.564865112304688,18.816347122192383,,18.942182540893555,,,12.43,,,,,,,,,,,,,,,,,,,,20.2,22.47,17.51,18.55,,,,,,,,,,,,,,,,,,,14.252,15.16,13.443,16.511,12.728,12.389,12.217,8.771,
2MASS J00511078-1544169,L5:,14.164,15.28,13.466,,,,,,,,20.564865112304688,18.816347122192383,,18.942182540893555,,,12.43,,,,,,,,,,,,,,,,,,,,20.2,22.47,17.51,18.55,,,,,,,,,,,,,,,,,,,14.252,15.16,13.443,16.511,12.728,12.389,12.217,8.771,
2MASS J00521232+0012172,L2: pec,15.561,16.361,15.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.47,,18.7,19.82,,,,,,,,,,,,,,,,,,,15.808,16.537,15.214,17.874,14.571,14.401,,,
2MASS J00521232+0012172,L4.5,15.561,16.361,15.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.47,,18.7,19.82,,,,,,,,,,,,,,,,,,,15.808,16.537,15.214,17.874,14.571,14.401,,,
2MASS J00531899-3631102,L3.5,13.48,14.445,12.937,,,,,,,,19.652523040771484,17.853782653808594,19.74321937561035,17.953502655029297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.557,14.377,12.923,15.619,12.312,12.029,11.505,9.123,
2MASS J00531899-3631102,L4:,13.48,14.445,12.937,,,,,,,,19.652523040771484,17.853782653808594,19.74321937561035,17.953502655029297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.557,14.377,12.923,15.619,12.312,12.029,11.505,9.123,
2MASS J00550564+0134365,L1.0: VL-G,15.27,16.436,14.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.27,,18.67,19.69,,,,,,,,,,,,,,,,,,,15.287,16.368,14.396,17.71,13.682,13.204,11.988,8.477,
2MASS J00550564+0134365,L2 gamma,15.27,16.436,14.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.27,,18.67,19.69,,,,,,,,,,,,,,,,,,,15.287,16.368,14.396,17.71,13.682,13.204,11.988,8.477,
2MASS J01033203+1935361,L6 beta,14.897,16.288,14.149,,,,,,,,,,,,,12.88,12.77,,,,,,,,,,,,,,,,,,,,21.31,,18.43,19.4,24.97685,21.53263,24.01519,25.43229,18.989,,,,,,,,,,,,,,,16.101,14.062,,13.178,12.696,12.195,8.29,
2MASS J01033203+1935361,L6: INT-G,14.897,16.288,14.149,,,,,,,,,,,,,12.88,12.77,,,,,,,,,,,,,,,,,,,,21.31,,18.43,19.4,24.97685,21.53263,24.01519,25.43229,18.989,,,,,,,,,,,,,,,16.101,14.062,,13.178,12.696,12.195,8.29,
2MASS J01062285-5933185,L0,13.566,14.33,13.01,,,,,,,,19.065404891967773,17.44709587097168,19.074621200561523,17.481840133666992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.77,12.502,11.988,9.288,
2MASS J01075242+0041563,L5.5,14.512,15.824,13.709,,,,,,,,,,,,,12.35,12.21,,,,,,,,,,,,,,14.56,15.75,13.58,12.06,,,21.21,,18.04,19.01,25.15302,21.07144,24.02882,24.85016,18.66968,,,,,,,,,,,,,,14.56,15.75,13.58,16.97,12.686,12.174,11.382,8.881,
2MASS J01075242+0041563,L7 pec,14.512,15.824,13.709,,,,,,,,,,,,,12.35,12.21,,,,,,,,,,,,,,14.56,15.75,13.58,12.06,,,21.21,,18.04,19.01,25.15302,21.07144,24.02882,24.85016,18.66968,,,,,,,,,,,,,,14.56,15.75,13.58,16.97,12.686,12.174,11.382,8.881,
2MASS J01075242+0041563,L8,14.512,15.824,13.709,,,,,,,,,,,,,12.35,12.21,,,,,,,,,,,,,,14.56,15.75,13.58,12.06,,,21.21,,18.04,19.01,25.15302,21.07144,24.02882,24.85016,18.66968,,,,,,,,,,,,,,14.56,15.75,13.58,16.97,12.686,12.174,11.382,8.881,
2MASS J01090918-4954532,L1,12.875,13.546,12.45,,,,,,,,17.812366485595703,16.23117446899414,17.815372467041016,16.25874137878418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.285,12.068,11.681,,
2MASS J01174748-3403258,L1 beta,14.209,15.178,13.489,,,18.825,21.04,,,,20.345754623413086,18.634716033935547,20.430973052978516,18.68265724182129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.271,15.105,13.462,16.366,,,,,,13.028,12.623,11.73,9.215,
2MASS J01174748-3403258,L1: INT-G,14.209,15.178,13.489,,,18.825,21.04,,,,20.345754623413086,18.634716033935547,20.430973052978516,18.68265724182129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.271,15.105,13.462,16.366,,,,,,13.028,12.623,11.73,9.215,
2MASS J01205114-5200349,L1.4 VL-G,14.66,15.64,13.75,,,,,,,,20.81682014465332,19.17544937133789,20.740819931030273,19.15018653869629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.232,12.831,11.912,,
2MASS J01225093-2439505,L3.7: INT-G,9.47,10.084,9.198,,,,,,,,12.902536392211914,11.700820922851562,12.891425132751465,11.684365272521973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.65,16.81,14.53,,,,,,
2MASS J01244599-5745379,L0 gamma,15.059,16.308,14.315,,,,,,,,21.271432876586914,,21.165924072265625,19.5753173828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.789,13.397,12.185,,
2MASS J01244599-5745379,L0.7 VL-G,15.059,16.308,14.315,,,,,,,,21.271432876586914,,21.165924072265625,19.5753173828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.789,13.397,12.185,,
