source,spectral_type_string,spectral_type_code,2MASS.H,2MASS.J,2MASS.Ks,WISE.W1,WISE.W2
PSO J334.8034+11.2278,L5,75.0,15.28,16.74,14.82,14.085,13.733
PSO J336.9036-18.9148,L6:: (red) VL-G,76.0,15.76,17.0,15.24,14.134,13.661
PSO J341.7509-15.1075,L5 FLD-G,75.0,15.4,16.41,14.83,14.168,13.875
PSO J342.3797-16.4665,L5:,75.0,15.262,16.121,14.831,14.064,13.751
PSO J344.8146+20.1917,L2.5 INT-G,72.5,15.66,16.58,14.85,14.306,13.97
PSO J346.3203-11.1654,L8.5,78.5,15.91,17.7,15.4,14.594,14.221
PSO J346.5281-15.9406,L7,77.0,15.253,16.694,14.775,13.869,13.414
PSO J350.4673-19.0783,L4.5,74.5,15.85,17.15,15.15,14.6,14.278
PSO J353.0517-29.8947,L1:,71.0,16.84,17.03,15.69,15.727,15.436
PSO J359.8867-01.8651,T1,81.0,16.03,17.24,16.09,15.231,14.666
SDSS J000250.98+245413.8,L5.5,75.5,16.06,17.165,15.656,14.834,14.574
SDSS J000614.06+160454.5,L0,70.0,15.838,16.591,15.091,15.097,14.917
SDSS J000632.60+140606.3,L0,70.0,15.302,15.849,15.06,14.303,14.05
SDSS J000632.60+140606.3,L0.4,70.4,15.302,15.849,15.06,14.303,14.05
SDSS J000646.81+151225.8,L4.3,74.3,15.247,16.221,14.811,14.145,13.886
SDSS J001608.44-004302.3,L5.5,75.5,15.229,16.326,14.541,13.836,13.444
SDSS J001637.62-103911.2,L0,70.0,14.78,15.455,14.533,14.076,13.831
SDSS J001911.65+003017.8,L0.4,70.4,14.18,14.921,13.57,13.25,13.014
SDSS J001911.65+003017.8,L1,71.0,14.18,14.921,13.57,13.25,13.014
SDSS J002209.31-011040.2,L0,70.0,15.087,15.816,14.699,14.387,14.11
SDSS J002611.45-094341.1,L1,71.0,14.999,15.601,14.379,14.032,13.829
SDSS J003609.26+241343.3,L5.5,75.5,16.108,17.033,15.657,14.782,14.451
SDSS J003843.99+134339.5,L0.6,70.6,15.203,15.908,14.758,14.428,14.249
SDSS J003843.99+134339.5,L1,71.0,15.203,15.908,14.758,14.428,14.249
SDSS J004154.54+134135.5,L0,70.0,13.673,14.454,13.236,12.893,12.609
SDSS J004154.54+134135.5,L0.6,70.6,13.673,14.454,13.236,12.893,12.609
SDSS J004221.15+145923.9,L1,71.0,16.093,16.679,15.579,15.405,15.191
SDSS J005705.55-084624.2,L0,70.0,14.917,15.698,14.356,14.058,13.789
SDSS J005935.48+150905.0,L0,70.0,15.582,16.544,15.172,14.927,14.704
SDSS J010718.70+132656.2,L0,70.0,16.207,16.576,15.34,15.361,15.047
SDSS J010840.49+134739.3,L0,70.0,15.715,16.293,,14.93,14.647
SDSS J010859.24-104546.3,L0,70.0,15.722,16.334,15.339,14.856,14.534
SDSS J012236.30+153339.4,L0,70.0,15.494,16.147,14.882,14.775,14.424
SDSS J012743.51+135420.9,L5,75.0,15.899,16.829,15.43,14.505,14.215
