source,spectral_type_string,spectral_type_code,J,H,Ks,W1,W2,JH,HK,JK,W1W2,KW1,KW2
PSO J244.1180+06.3598,L9 (red),79.0,,,,14.745,14.17,,,,0.5749999999999993,,
PSO J244.6801+08.7185,T4.5,84.5,,,,16.372,15.135,,,,1.237,,
PSO J246.1033-19.6194,T2,82.0,,,,14.927,13.962,,,,0.9649999999999999,,
PSO J246.4222+15.4698,T4.5,84.5,16.772,16.91,17.14,16.489,14.745,-0.13800000000000168,-0.23000000000000043,-0.3680000000000021,1.7440000000000015,0.6509999999999998,2.3950000000000014
PSO J258.2413+06.7612,T0 pec,80.0,16.161,15.34,14.78,14.096,13.553,0.8210000000000015,0.5600000000000005,1.381000000000002,0.5429999999999993,0.6839999999999993,1.2269999999999985
PSO J260.3363+46.6739,L9,79.0,16.859,15.83,15.23,14.422,13.913,1.0290000000000017,0.5999999999999996,1.6290000000000013,0.5090000000000003,0.8079999999999998,1.3170000000000002
PSO J260.9762+04.2354,T2.5,82.5,,,,15.218,14.258,,,,0.9600000000000009,,
PSO J261.2881+22.9269,T5,85.0,,,,16.508,15.141,,,,1.366999999999999,,
PSO J265.0759+11.4855,T0.5,80.5,,,,15.419,14.944,,,,0.47499999999999964,,
PSO J272.0887-04.9943,T1.5 pec,81.5,,,,14.959,14.159,,,,0.7999999999999989,,
PSO J274.0908+30.5470,T3,83.0,,,,16.216,14.942,,,,1.274000000000001,,
PSO J276.8234+22.4380,L9,79.0,16.91,15.58,14.87,13.956,13.425,1.33,0.7100000000000009,2.040000000000001,0.5309999999999988,0.9139999999999997,1.4449999999999985
PSO J280.2973+63.2600,L9.5,79.5,16.13,15.34,14.83,14.134,13.536,0.7899999999999991,0.5099999999999998,1.299999999999999,0.5980000000000008,0.6959999999999997,1.2940000000000005
PSO J282.5878+34.7691,L1,71.0,17.25,16.26,15.4,,,0.9899999999999984,0.8600000000000012,1.8499999999999996,,,
PSO J284.7214+39.3189,T4,84.0,,,,16.18,15.175,,,,1.004999999999999,,
PSO J291.2688+68.5310,T1,81.0,16.61,16.11,15.49,15.053,14.465,0.5,0.6199999999999992,1.1199999999999992,0.588000000000001,0.4369999999999994,1.0250000000000004
PSO J306.0126+16.7969,L2.3: INT-G?,72.3,15.577,14.559,13.977,13.282,12.98,1.0180000000000007,0.581999999999999,1.5999999999999996,0.3019999999999996,0.6950000000000003,0.9969999999999999
PSO J308.9834-09.7312,L4.5,74.5,,,,15.668,15.517,,,,0.1509999999999998,,
PSO J313.1577-26.0050,L1,71.0,,,,15.629,15.457,,,,0.17199999999999882,,
PSO J316.5156+04.1173,L6 (blue) FLD-G,76.0,16.81,16.02,15.59,14.771,14.444,0.7899999999999991,0.4299999999999997,1.2199999999999989,0.32699999999999996,0.8189999999999991,1.145999999999999
PSO J318.4243+35.1277,L0.9: INT-G,70.9,,,,12.212,11.872,,,,0.33999999999999986,,
PSO J321.1619+18.8243,L9,79.0,17.03,15.89,15.36,14.675,13.977,1.1400000000000006,0.5300000000000011,1.6700000000000017,0.6980000000000004,0.6849999999999987,1.3829999999999991
PSO J323.1320+29.5308,T4.5,84.5,,,,15.876,14.309,,,,1.5670000000000002,,
PSO J329.8288+03.0840,T1:,81.0,,,,14.915,14.383,,,,0.532,,
PSO J330.3214+32.3686,T2.5,82.5,16.35,15.44,15.34,14.673,13.672,0.9100000000000019,0.09999999999999964,1.0100000000000016,1.0009999999999994,0.6669999999999998,1.6679999999999993
PSO J331.9397-07.0570,L7,77.0,17.41,15.96,15.66,14.555,14.071,1.4499999999999993,0.3000000000000007,1.75,0.484,1.1050000000000004,1.5890000000000004
PSO J334.1193+19.8800,T3,83.0,,,,15.744,14.547,,,,1.1969999999999992,,
PSO J334.2624+28.9438,L3.5: INT-G,73.5,16.839,15.898,15.078,14.316,13.906,0.940999999999999,0.8200000000000003,1.7609999999999992,0.41000000000000014,0.7619999999999987,1.1719999999999988
PSO J334.8034+11.2278,L5,75.0,16.74,15.28,14.82,14.085,13.733,1.459999999999999,0.4599999999999991,1.9199999999999982,0.3520000000000003,0.7349999999999994,1.0869999999999997
PSO J336.9036-18.9148,L6:: (red) VL-G,76.0,17.0,15.76,15.24,14.134,13.661,1.2400000000000002,0.5199999999999996,1.7599999999999998,0.47300000000000075,1.1059999999999999,1.5790000000000006
PSO J338.8587+31.4729,L2 pec FLD-G,72.0,,,,15.023,14.731,,,,0.2919999999999998,,
PSO J341.4606-28.7798,T4,84.0,,,,15.577,14.466,,,,1.1110000000000007,,
PSO J341.7509-15.1075,L5 FLD-G,75.0,16.41,15.4,14.83,14.168,13.875,1.0099999999999998,0.5700000000000003,1.58,0.29299999999999926,0.6620000000000008,0.9550000000000001
PSO J342.3797-16.4665,L5:,75.0,16.121,15.262,14.831,14.064,13.751,0.8589999999999982,0.43100000000000094,1.2899999999999991,0.3130000000000006,0.7669999999999995,1.08
PSO J344.8146+20.1917,L2.5 INT-G,72.5,16.58,15.66,14.85,14.306,13.97,0.9199999999999982,0.8100000000000005,1.7299999999999986,0.3359999999999985,0.5440000000000005,0.879999999999999
PSO J346.3203-11.1654,L8.5,78.5,17.7,15.91,15.4,14.594,14.221,1.7899999999999991,0.5099999999999998,2.299999999999999,0.37299999999999933,0.8060000000000009,1.1790000000000003
PSO J346.5281-15.9406,L7,77.0,16.694,15.253,14.775,13.869,13.414,1.440999999999999,0.47799999999999976,1.9189999999999987,0.45500000000000007,0.9060000000000006,1.3610000000000007
PSO J350.4673-19.0783,L4.5,74.5,17.15,15.85,15.15,14.6,14.278,1.299999999999999,0.6999999999999993,1.9999999999999982,0.3219999999999992,0.5500000000000007,0.8719999999999999
PSO J353.0517-29.8947,L1:,71.0,17.03,16.84,15.69,15.727,15.436,0.19000000000000128,1.1500000000000004,1.3400000000000016,0.29100000000000037,-0.03700000000000081,0.25399999999999956
PSO J353.6355+13.2209,L8:,78.0,,,,13.794,13.315,,,,0.479000000000001,,
PSO J354.3709+57.7939,T2.5,82.5,,,,14.783,14.054,,,,0.7289999999999992,,
PSO J357.8314+49.6330,T0 (blue),80.0,,,,14.791,14.247,,,,0.5440000000000005,,
PSO J358.5527+22.1393,L1.9: INT-G?,71.9,,,,13.635,13.375,,,,0.2599999999999998,,
PSO J359.8867-01.8651,T1,81.0,17.24,16.03,16.09,15.231,14.666,1.2099999999999973,-0.05999999999999872,1.1499999999999986,0.5649999999999995,0.859,1.4239999999999995
S Ori 47,L0,70.0,,,,15.237,15.031,,,,0.20599999999999952,,
S Ori 47,L1.5,71.5,,,,15.237,15.031,,,,0.20599999999999952,,
S Ori 52,L0,70.0,,,,15.932,15.924,,,,0.008000000000000895,,
S Ori 56,L0.5,70.5,,,,16.491,16.171,,,,0.3200000000000003,,
S Ori 58,L0:,70.0,,,,17.072,16.328,,,,0.7439999999999998,,
S Ori 61,L0:,70.0,,,,17.889,16.977,,,,0.911999999999999,,
S Ori 62,L2:,72.0,,,,17.331,17.166,,,,0.16499999999999915,,
S Ori 65,L3.5::,73.5,,,,17.137,18.055,,,,-0.9179999999999993,,
S Ori 66,L3.5,73.5,,,,17.507,16.661,,,,0.8460000000000001,,
S Ori 68,L5::,75.0,,,,14.226,14.023,,,,0.20300000000000118,,
S Ori 71,L0,70.0,,,,15.516,14.902,,,,0.6140000000000008,,
SDSS J000250.98+245413.8,L5.5,75.5,17.165,16.06,15.656,14.834,14.574,1.1050000000000004,0.40399999999999814,1.5089999999999986,0.2599999999999998,0.822000000000001,1.0820000000000007
SDSS J000614.06+160454.5,L0,70.0,16.591,15.838,15.091,15.097,14.917,0.7530000000000019,0.7469999999999999,1.5000000000000018,0.17999999999999972,-0.006000000000000227,0.1739999999999995
SDSS J000632.60+140606.3,L0,70.0,15.849,15.302,15.06,14.303,14.05,0.5470000000000006,0.2419999999999991,0.7889999999999997,0.2530000000000001,0.7569999999999997,1.0099999999999998
SDSS J000632.60+140606.3,L0.4,70.4,15.849,15.302,15.06,14.303,14.05,0.5470000000000006,0.2419999999999991,0.7889999999999997,0.2530000000000001,0.7569999999999997,1.0099999999999998
SDSS J000646.81+151225.8,L4.3,74.3,16.221,15.247,14.811,14.145,13.886,0.9740000000000002,0.43599999999999994,1.4100000000000001,0.25900000000000034,0.6660000000000004,0.9250000000000007
SDSS J001608.44-004302.3,L5.5,75.5,16.326,15.229,14.541,13.836,13.444,1.0970000000000013,0.6879999999999988,1.7850000000000001,0.39199999999999946,0.7050000000000001,1.0969999999999995
SDSS J001637.62-103911.2,L0,70.0,15.455,14.78,14.533,14.076,13.831,0.6750000000000007,0.2469999999999999,0.9220000000000006,0.245000000000001,0.45699999999999896,0.702
