source,spectral_type_string,spectral_type_code,2MASS.H,2MASS.J,2MASS.Ks,WISE.W1,WISE.W2
SDSS J090023.68+253934.3,L6.7,76.7,15.413,16.427,14.658,14.252,14.009
SDSS J090040.61+422721.5,L0,70.0,,,,15.227,15.083
SDSS J090154.73+381837.5,L0,70.0,14.573,15.305,14.091,13.833,13.604
SDSS J090238.98+301840.3,L0,70.0,15.443,16.235,15.052,14.77,14.557
SDSS J090347.55+011446.0,L2,72.0,15.603,16.449,14.887,14.542,14.277
SDSS J090509.00+043819.9,L0,70.0,16.08,16.7,15.74,15.567,15.322
SDSS J090531.00+195433.0,L0,70.0,15.101,15.943,14.536,14.302,14.103
SDSS J090737.68+450935.7,L0,70.0,13.742,14.411,13.414,13.049,12.769
SDSS J090948.13+194043.9,L1,71.0,13.925,14.733,13.44,13.138,12.949
SDSS J091128.95+320644.7,L0,70.0,15.219,15.898,14.778,14.512,14.329
SDSS J091206.36+420330.6,L0,70.0,15.376,15.986,14.934,14.664,14.425
SDSS J091414.38+105719.5,L0,70.0,14.807,15.5,14.257,14.018,13.707
SDSS J091524.34+383128.3,L0,70.0,15.316,16.243,14.735,14.483,14.238
SDSS J091656.32+105740.0,L1,71.0,,,,15.372,15.249
SDSS J091659.09+512450.4,L0,70.0,13.725,14.409,13.177,12.904,12.673
SDSS J091714.76+314824.8,L2,72.0,15.731,16.297,15.011,14.743,14.545
SDSS J091750.34+294445.0,L0,70.0,14.973,15.846,14.497,14.063,13.814
SDSS J092026.43+265157.7,L0,70.0,14.966,15.827,14.617,14.276,14.105
SDSS J092142.52+084202.7,L2,72.0,,,,14.108,13.839
SDSS J092300.89+052801.5,L0,70.0,,,,15.706,15.492
SDSS J092308.70+234013.7,L1,71.0,,,,12.415,12.172
SDSS J092308.70+234013.7,L2.3,72.3,,,,12.415,12.172
SDSS J092532.11+283550.9,L0,70.0,,,,14.986,14.693
SDSS J092757.46+602746.3,L1,71.0,14.743,15.52,14.231,13.832,13.602
SDSS J093109.56+032732.5,L7.5:,77.5,16.273,16.615,,15.025,14.813
SDSS J093113.23+280227.1,L2.5:,72.5,14.256,14.975,13.726,13.363,12.972
SDSS J093113.23+280227.1,L3,73.0,14.256,14.975,13.726,13.363,12.972
SDSS J093146.84+544227.1,L0,70.0,15.419,16.076,14.905,14.613,14.402
SDSS J093215.46+345624.8,L0,70.0,,,,14.81,14.599
SDSS J093237.47+672514.5,L0,70.0,15.365,15.914,14.986,14.594,14.305
SDSS J093242.84+042215.2,L0,70.0,14.906,15.663,14.623,14.264,14.05
SDSS J093328.00+265448.4,L0,70.0,15.064,15.649,14.344,14.248,13.948
SDSS J093535.49+234217.5,L1,71.0,,,,15.174,15.112
SDSS J093600.12+043147.9,L2,72.0,15.129,16.123,14.475,13.764,13.6
SDSS J093706.72+284705.6,L0,70.0,15.286,15.795,14.682,14.439,14.12
SDSS J093824.88+290328.9,L0,70.0,15.842,16.835,15.53,15.221,15.005
SDSS J093858.88+044343.9,L0,70.0,14.498,15.243,14.004,13.781,13.604
SDSS J093906.46+341257.5,L0,70.0,14.883,15.584,14.296,,13.631
SDSS J094043.18+565049.1,L0,70.0,14.9,15.705,14.277,14.103,13.866
SDSS J094047.88+294653.0,L0.4,70.4,,,,13.454,13.258
SDSS J094047.88+294653.0,L1,71.0,,,,13.454,13.258
SDSS J094134.92+100942.0,L0,70.0,13.776,14.576,13.366,13.094,12.834
SDSS J094140.65-003215.8,L0,70.0,15.988,16.772,15.59,15.467,15.133
SDSS J094350.20+151909.2,L1,71.0,,,,14.083,13.839
SDSS J094427.31+641037.3,L0,70.0,,,,15.104,14.81
SDSS J094436.31+364920.8,L2,72.0,,,,14.011,13.789
SDSS J094903.15+264944.2,L0,70.0,,,,14.702,14.453
SDSS J095415.73+500140.3,L0,70.0,,,,14.548,14.237
SDSS J095850.68+200150.6,L0,70.0,15.247,16.078,14.611,14.061,13.782
SDSS J095908.97+312557.3,L0,70.0,14.798,15.415,14.285,14.003,13.777
SDSS J095916.66+364157.6,L0,70.0,,,,14.464,14.206
SDSS J100016.92+321829.4,L3.5,73.5,15.697,16.621,15.362,14.845,14.631
SDSS J100401.41+005354.9,L2:,72.0,,,,15.98,15.841
SDSS J100435.88+565757.4,L0,70.0,15.809,16.666,15.431,15.115,14.775
SDSS J100442.60+614628.7,L0,70.0,14.787,15.547,14.283,13.947,13.701
SDSS J100559.85+035842.3,L0,70.0,15.086,15.949,14.651,14.329,14.116
SDSS J100711.74+193056.2,L8:,78.0,15.755,16.871,14.997,14.135,13.53
SDSS J100844.64+470738.0,L0,70.0,15.242,15.933,14.91,14.451,14.211
SDSS J100942.68+580217.6,L3,73.0,,,,14.194,13.991
SDSS J101105.22+382617.5,L0,70.0,14.201,14.926,13.771,13.391,13.155
SDSS J101304.34+071050.7,L0,70.0,15.466,16.221,15.092,14.801,14.611
SDSS J101327.96+352052.8,L0,70.0,13.551,14.296,13.036,12.726,12.475
SDSS J101517.63+075212.0,L0,70.0,14.852,15.509,14.409,14.089,13.831
SDSS J101742.51+431057.9,L0.9,70.9,,,,13.938,13.68
SDSS J101742.51+431057.9,L1,71.0,,,,13.938,13.68
SDSS J102116.05+354607.8,L0,70.0,15.99,16.47,15.405,15.247,15.019
SDSS J102600.06+395509.6,L0,70.0,15.709,16.123,15.271,14.872,14.64
SDSS J102947.68+483412.2,L0,70.0,16.039,16.764,15.585,15.328,15.071
SDSS J103026.78+021306.4,L9.5:,79.5,,,,14.956,14.475
SDSS J103225.19+330042.0,L0,70.0,14.561,15.259,13.939,13.646,13.422
SDSS J103309.11+121626.0,L0,70.0,14.444,15.065,13.953,13.609,13.326
SDSS J103321.92+400549.5,L6,76.0,15.874,16.644,15.6,14.876,14.604
SDSS J103405.67+035016.3,L0,70.0,14.02,14.695,13.625,13.217,12.95
SDSS J103428.24+414000.7,L0,70.0,15.953,16.491,15.218,14.929,14.675
SDSS J103451.12+125840.7,L0,70.0,,,,14.538,14.353
SDSS J103528.61+231840.0,L0,70.0,15.605,16.496,15.101,14.974,14.74
SDSS J103602.44+372448.5,L0,70.0,15.541,16.42,14.993,14.862,14.69
SDSS J103730.42+461826.6,L0,70.0,15.624,16.075,14.756,14.483,14.247
SDSS J104014.50+413116.4,L0,70.0,16.037,16.722,15.801,15.619,15.583
SDSS J104114.05+632738.4,L0,70.0,15.746,16.304,15.426,15.164,14.998
SDSS J104121.86+244228.0,L0,70.0,15.602,16.485,15.503,14.821,14.628
SDSS J104319.44+071232.4,L0,70.0,15.421,16.13,14.974,14.745,14.491
SDSS J104407.47+015742.0,L1,71.0,15.647,16.585,15.221,14.529,14.254
SDSS J104426.79+272033.2,L1,71.0,,,,15.456,15.271
SDSS J104617.02+351305.8,L0,70.0,15.566,16.369,15.055,14.627,14.459
SDSS J104625.76+042441.0,L6,76.0,,,,14.643,14.335
SDSS J104729.03+301639.7,L0,70.0,15.413,16.325,15.147,14.959,14.738
SDSS J104829.21+091937.8,T2.5,82.5,,,,15.278,14.317
SDSS J104842.70+300650.5,L1,71.0,15.056,15.901,14.613,14.115,13.837
SDSS J104842.81+011158.2,L1,71.0,12.14,12.924,11.623,11.274,11.018
SDSS J104842.81+011158.2,L4,74.0,12.14,12.924,11.623,11.274,11.018
SDSS J104922.45+012559.2,L3.5:,73.5,14.951,15.879,14.11,13.523,13.223
SDSS J104922.45+012559.2,L5,75.0,14.951,15.879,14.11,13.523,13.223
SDSS J104928.24+253723.2,L1,71.0,14.831,15.672,14.367,13.933,13.728
SDSS J104934.84+602029.4,L0,70.0,,,,14.845,14.644
SDSS J105012.49+005803.3,L0,70.0,,,,15.189,14.895
SDSS J105044.03+325843.5,L0,70.0,15.73,16.415,15.275,14.939,14.713
SDSS J105110.69+314130.0,L0,70.0,,,,14.305,14.146
SDSS J105151.25+131116.3,L0,70.0,14.119,14.832,13.629,13.189,12.886
SDSS J105213.51+442255.7,L7.5,77.5,15.161,15.958,14.568,13.712,13.154
SDSS J105213.51+442255.7,T0.5:,80.5,15.161,15.958,14.568,13.712,13.154
SDSS J105259.70+334406.1,L0,70.0,15.753,16.477,15.313,14.901,14.661
SDSS J105318.15+433306.1,L0,70.0,15.206,15.875,14.827,14.387,14.152
SDSS J105339.22+642351.5,L0,70.0,15.343,16.316,15.16,14.726,14.504
SDSS J105355.39+385737.5,L0,70.0,15.424,16.095,14.861,14.622,14.44
SDSS J105510.41+511026.2,L0,70.0,16.09,16.511,15.57,15.271,15.174
SDSS J105814.54+303159.8,L0,70.0,15.072,15.624,14.599,14.199,13.962
SDSS J110008.19+295516.1,L0,70.0,14.985,15.704,14.451,14.156,13.885
SDSS J110148.04+544009.2,L0,70.0,14.629,15.359,14.152,13.794,13.554
SDSS J110212.06+162938.7,L0,70.0,,,,15.058,14.801
SDSS J110454.25+554841.4,T0:,80.0,,,,15.601,15.228
SDSS J110555.02+042145.3,L0,70.0,15.775,16.424,15.06,14.799,14.544
SDSS J110705.31+245448.5,L0,70.0,15.47,16.227,14.76,14.707,14.502
SDSS J110927.19-160653.7,L0,70.0,14.348,14.97,13.892,13.647,13.345
SDSS J110938.29+235339.6,L0,70.0,15.014,15.695,14.584,14.369,14.16
SDSS J111143.85+295823.8,L1,71.0,,,,15.002,14.76
SDSS J111316.95-000246.6,L0,70.0,14.297,15.08,13.803,13.478,13.208
SDSS J111647.97+603730.7,L0,70.0,15.498,16.376,15.45,15.013,14.89
